tweet_id|datetime|text|user_id|screen_name|full_name|user_created|followers_count|user_verified|user_location|likes|retweet_count|bookmark_count|quote_count|hashtags|cashtags|mentions|language|coodinates|quoted_tweet_id
1662609625701666816|2023-05-27 23:59:59+00:00|i bought the #bitcoin top in 2011 it went right down to i held it worked out think of all the poor souls that sold it all the way down a life time of regret for them it took 10 years for $btc to go up 666x from my entry to 000 ten years a decade dips galore|817817720221794305|RichardHeartWin|Richard Heart|2017-01-07 19:38:33+00:00|328006|False||3750|747|46|34|['Bitcoin']|['BTC']||en||
1662609620924354562|2023-05-27 23:59:58+00:00|own 1 20 ordered so fkn clean|31402227|AgRunner|pacific0 (33.3%)ⓨ{6666}🪶|2009-04-15 13:08:44+00:00|2261|False|the512|10|4|0|0|||[User(username='PixelRainbowNFT', id=1434237661728882694, displayname='PixelRainbowNFT.BTC', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None), User(username='DeGodsNFT', id=1375234369636331522, displayname='DeGods III', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None), User(username='nft527', id=1491551929385857024, displayname='Sensei 527 (33.3%)', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None), User(username='BTC_DeGods', id=1638954420565057546, displayname='BTC DeGods', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None)]|en||
1662609615857803264|2023-05-27 23:59:56+00:00|do it again #bitcoin|85551213|subscrypts|⚡subscrypts⚡|2009-10-27 11:39:49+00:00|190|False|cryptoverse|0|0|0|0|['BITCOIN']|||en||
1662609609356353536|2023-05-27 23:59:55+00:00|2 presidential candidates for btc, id say so|1318640460043345922|omayracruz15|Light|2020-10-20 19:49:31+00:00|23|False||0|0|0|0|||[User(username='TheCryptoLark', id=30325257, displayname='Lark Davis', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None)]|en||
1662609602695897088|2023-05-27 23:59:53+00:00|bitcoin price index|2395138046|WorldCoinIndex|WorldCoinIndex|2014-03-17 21:39:08+00:00|12769|False||0|0|0|0|['USD', 'EUR', 'CNY', 'GBP', 'RUB']|||en||
1662609587231666176|2023-05-27 23:59:50+00:00|aw not financial advice #bitcoin|1215081688834834432|datujinnar|Datujinnar Salipada|2020-01-09 01:23:51+00:00|138|False|In Your Heart|0|0|0|0|['cryptotwitter', 'bitcoin', 'BNB', 'ethereum', 'trustwallet', 'twt', 'waxfam', 'WAGMI']|||en||https://twitter.com/PeterSchiff/status/1662608929614970880
1662609585889513472|2023-05-27 23:59:49+00:00|id use the 1mil to buy btc then put it in cold storage sorry i dont play by your rules sir|76256255|runcandice|Candice|2009-09-22 05:07:45+00:00|47214|False||113|0|0|0|||[User(username='jameslavish', id=63147492, displayname='James Lavish', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None)]|en||
1662609555094749184|2023-05-27 23:59:42+00:00|i dont think you can have to use electrs or similar in between|1477672337373859848|ArgenTo46|Argen_to46|2022-01-02 16:06:28+00:00|810|False|Buenos Aires, Argentina|0|0|0|0|||[User(username='w_s_bitcoin', id=1381699484988637194, displayname='Wicked', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None), User(username='CreedBTC', id=2941477378, displayname='The ₿oy┊⚡️⛓️ 🔑 🥩 🌞 ┊', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None), User(username='BTCsessions', id=2298103730, displayname='BTC Sessions 😎', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None)]|en||
1662609553714814982|2023-05-27 23:59:42+00:00|with a description like that, you dont know if youre gonna listen to tether truthers or bitcoin maxis|2373682811|zackvoell|Zack Voell|2014-03-01 18:53:16+00:00|59039|False|🧙‍♂️|2|0|0|0|||[User(username='LordBogdanoff', id=1017279077860954112, displayname='GravityWell', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None), User(username='naniXBT', id=972557412577284096, displayname='nani', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None)]|en||
1662609550011252736|2023-05-27 23:59:41+00:00|jackbtc|1025419852276744193|Ashiga13|ASHiGA|2018-08-03 16:35:18+00:00|361|False|ישראל|0|0|0|0|||[User(username='elonmusk', id=44196397, displayname='Elon Musk', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None), User(username='RealJamesWoods', id=78523300, displayname='James Woods', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None)]|en||
1662609533846388738|2023-05-27 23:59:37+00:00|what government also maybe examine nigeria and cbdcs people dont want them for the same reason you cant stop illegal movie streamingdownloading you cant stop bitcoin they could have but unfortunately for them that time has long past|1434229759983116289|KingGronkeykong|Gronkeykong|2021-09-04 19:01:14+00:00|3205|False||0|0|0|0|||[User(username='vermontstallion', id=1451534368141418522, displayname='Vermont Stallion🇺🇸', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None), User(username='jameslavish', id=63147492, displayname='James Lavish', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None)]|en||
